macro_minute_index,mean_total_size,p25_total_size,p75_total_size,median_total_size,std_total_size,sample_size_total_size
40,1056.4673008323425,676.0,1259.0,914.0,574.2492898090153,841
41,984.3816884661118,638.0,1177.0,853.0,527.4694851002356,841
42,976.2615933412604,629.0,1183.0,851.0,541.8388954572341,841
43,968.2913198573127,648.0,1174.0,866.0,475.8674355555177,841
44,969.8240190249703,611.0,1161.0,832.0,525.5998228269611,841
45,1148.5992865636147,785.0,1371.0,1025.0,553.6236451128707,841
46,1031.896551724138,693.0,1236.0,917.0,500.7338329178198,841
47,1016.6563614744352,668.0,1193.0,906.0,504.3477467275197,841
48,993.4375743162901,677.0,1176.0,887.0,477.3423137448132,841
49,964.3103448275862,660.0,1157.0,853.0,446.1309518409098,841
50,2357.1355529131984,1759.0,2800.0,2230.0,852.3050025183586,841
51,1487.4007134363853,1049.0,1757.0,1340.0,648.9210642065175,841
52,1386.794292508918,982.0,1663.0,1287.0,577.8346705101527,841
53,1366.831153388823,986.0,1617.0,1243.0,583.2240707438074,841
54,2257.3412604042805,1680.0,2691.0,2087.0,795.4828326080484,841
55,2464.871581450654,1867.0,2905.0,2291.0,876.8533950132068,841
56,1636.8252080856123,1185.0,1950.0,1481.0,667.6218876636731,841
57,1776.923900118906,1301.0,2125.0,1634.0,675.7936490576659,841
58,2144.2259215219974,1586.0,2506.0,1984.0,802.7357516604962,841
59,8533.139120095126,6881.0,9887.0,8143.0,2445.3297164777646,841
0,3548.4221165279428,2818.0,4078.0,3330.0,1096.1152024681098,841
1,1496.3923900118907,974.0,1697.0,1221.0,1000.9132999126438,841
2,994.4066587395957,624.0,1138.0,826.0,695.0914593150678,841
3,797.2734839476814,493.0,900.0,654.0,576.7191227504617,841
4,685.8965517241379,428.0,811.0,570.0,444.63188626740896,841
5,807.7491082045184,463.0,885.0,625.0,688.336365779523,841
6,570.1640903686088,333.0,634.0,462.0,439.15029881244357,841
7,503.7003567181926,308.0,566.0,416.0,346.8653067970281,841
8,452.5410225921522,269.0,529.0,366.0,323.2097741971491,841
9,432.614744351962,266.0,513.0,367.0,286.4376878492781,841
10,457.3151010701546,270.0,511.0,366.0,427.1693590455673,841
